Hence,hence,
I,i,s
am,am,s
Caesar,caesar,
.,.,n
Come,come,s
on,on,s
my,my,s
right,right,s
hand,hand,,topic_41,0,freq1,0,ig5,0,sal4,0
",",",",s
for,for,s
this,this,s
ear,ear,s,topic_2,0,freq3,0,ig5,0,sal4,0
is,is,s
deaf,deaf,,topic_16,0,freq5,0,ig5,0,sal5,0
",",",",n
And,and,s
tell,tell,s
me,me,s
truly,truly,s
what,what,s
thou,thou,s
think'st,think'st,s,topic_35,0,freq4,0,ig5,0,sal4,0
of,of,s
him,him,
.,.,n
You,you,s
pull'd,pull'd,s,topic_17,0,freq5,0,ig5,0,sal4,0
me,me,s
by,by,s
the,the,s
cloak,cloak,,topic_23,0,freq4,0,ig1,0,sal3,0
;,;,s
would,would,s
you,you,s
speak,speak,s,topic_27,0,freq1,0,ig5,0,sal1,0
with,with,s
me,me,
?,?,n
Ay,ay,,topic_1,0,freq1,0,ig5,0,sal1,0
",",",",s
Casca,casca,
;,;,s
tell,tell,s
us,us,s
what,what,s
hath,hath,s,topic_18,0,freq1,0,ig5,0,sal4,0
chanced,chanced,s,topic_35,0,freq5,0,ig5,0,sal5,0
to-day,to-day,,topic_33,0,freq2,0,ig5,0,sal3,0
",",",",n
That,that,s
Caesar,caesar,s
looks,looks,s
so,so,s
sad,sad,,topic_47,0,freq4,0,ig5,0,sal5,0
.,.,n
Why,why,
",",",",s
you,you,s
were,were,s
with,with,s
him,him,
",",",",s
were,were,s
you,you,s
not,not,
?,?,n
I,i,s
should,should,s
not,not,s
then,then,s
ask,ask,s
Casca,casca,s
what,what,s
had,had,s
chanced,chanced,,topic_35,0,freq5,0,ig5,0,sal5,0
.,.,n
Why,why,
",",",",s
there,there,s
was,was,s
a,a,s
crown,crown,s,topic_8,0,freq1,0,ig5,0,sal1,0
offered,offered,s,topic_2,0,freq4,0,ig1,0,sal3,0
him,him,
:,:,s
and,and,s
being,being,n
offered,offered,s,topic_2,0,freq4,0,ig1,0,sal3,0
him,him,
",",",",s
he,he,s
put,put,s,topic_41,0,freq1,0,ig5,0,sal2,0
it,it,s
by,by,s
with,with,s
the,the,s
back,back,s,topic_4,0,freq1,0,ig5,0,sal2,0
of,of,s
his,his,s
hand,hand,,topic_41,0,freq1,0,ig5,0,sal4,0
",",",",n
thus,thus,
;,;,s
and,and,s
then,then,s
the,the,s
people,people,s,topic_17,0,freq1,0,ig1,0,sal1,0
fell,fell,s,topic_35,0,freq2,0,ig5,0,sal3,0
a-shouting,a-shouting,,topic_2,0,freq5,0,ig3,0,sal5,0
.,.,n
What,what,s
was,was,s
the,the,s
second,second,s
noise,noise,s,topic_23,0,freq3,0,ig5,0,sal3,0
for,for,
?,?,n
Why,why,
",",",",s
for,for,s
that,that,s
too,too,
.,.,n
They,they,s
shouted,shouted,s,topic_46,0,freq5,0,ig1,0,sal5,0
thrice,thrice,,topic_0,0,freq3,0,ig1,0,sal1,0
:,:,s
what,what,s
was,was,s
the,the,s
last,last,s
cry,cry,s,topic_35,0,freq2,0,ig5,0,sal3,0
for,for,
?,?,n
Why,why,
",",",",s
for,for,s
that,that,s
too,too,
.,.,n
Was,was,s
the,the,s
crown,crown,s,topic_8,0,freq1,0,ig5,0,sal1,0
offered,offered,s,topic_2,0,freq4,0,ig1,0,sal3,0
him,him,s
thrice,thrice,,topic_0,0,freq3,0,ig1,0,sal1,0
?,?,n
Ay,ay,,topic_1,0,freq1,0,ig5,0,sal1,0
",",",",s
marry,marry,,topic_2,0,freq2,0,ig5,0,sal2,0
",",",",s
was't,was't,,topic_10,0,freq3,0,ig1,0,sal2,0
",",",",s
and,and,s
he,he,s
put,put,s,topic_41,0,freq1,0,ig5,0,sal2,0
it,it,s
by,by,s
thrice,thrice,,topic_0,0,freq3,0,ig1,0,sal1,0
",",",",s
every,every,n
time,time,s,topic_47,0,freq2,0,ig5,0,sal4,0
gentler,gentler,s,topic_6,0,freq5,0,ig5,0,sal5,0
than,than,s
other,other,
",",",",s
and,and,s
at,at,s
every,every,s
putting-by,putting-by,n,topic_13,0,freq5,0,ig3,0,sal5,0
mine,mine,s,topic_2,0,freq2,0,ig5,0,sal3,0
honest,honest,s,topic_2,0,freq2,0,ig5,0,sal2,0
neighbours,neighbours,s,topic_2,0,freq4,0,ig1,0,sal2,0
shouted,shouted,,topic_46,0,freq5,0,ig1,0,sal5,0
.,.,n
Who,who,s
offered,offered,s,topic_2,0,freq4,0,ig1,0,sal3,0
him,him,s
the,the,s
crown,crown,,topic_8,0,freq1,0,ig5,0,sal1,0
?,?,n
Why,why,
",",",",s
Antony,antony,
.,.,n
Tell,tell,s
us,us,s
the,the,s
manner,manner,s,topic_2,0,freq4,0,ig5,0,sal4,0
of,of,s
it,it,
",",",",s
gentle,gentle,s,topic_1,0,freq1,0,ig5,0,sal3,0
Casca,casca,
.,.,n
I,i,s
can,can,s
as,as,s
well,well,s
be,be,s
hanged,hanged,s,topic_40,0,freq2,0,ig1,0,sal1,0
as,as,s
tell,tell,s
the,the,s
manner,manner,s,topic_2,0,freq4,0,ig5,0,sal4,0
of,of,s
it,it,
:,:,n
it,it,s
was,was,s
mere,mere,s,topic_13,0,freq3,0,ig5,0,sal3,0
foolery,foolery,,topic_2,0,freq5,0,ig5,0,sal4,0
;,;,s
I,i,s
did,did,s
not,not,s
mark,mark,s,topic_41,0,freq1,0,ig5,0,sal1,0
it,it,
.,.,s
I,i,s
saw,saw,s
Mark,mark,n,topic_41,0,freq1,0,ig5,0,sal1,0
Antony,antony,s
offer,offer,s,topic_46,0,freq4,0,ig5,0,sal5,0
him,him,s
a,a,s
crown,crown,,topic_8,0,freq1,0,ig5,0,sal1,0
;,;,
--,--,
yet,yet,s
',',
twas,twas,s,topic_41,0,freq2,0,ig5,0,sal3,0
not,not,s
a,a,s
crown,crown,n,topic_8,0,freq1,0,ig5,0,sal1,0
neither,neither,
",",",",s
',',
twas,twas,s,topic_41,0,freq2,0,ig5,0,sal3,0
one,one,s
of,of,s
these,these,s
coronets,coronets,,topic_48,0,freq5,0,ig5,0,sal5,0
;,;,
--,--,
and,and,
",",",",s
as,as,s
I,i,s
told,told,n,topic_45,0,freq3,0,ig5,0,sal4,0
you,you,
",",",",s
he,he,s
put,put,s,topic_41,0,freq1,0,ig5,0,sal2,0
it,it,s
by,by,s
once,once,
:,:,s
but,but,
",",",",s
for,for,s
all,all,s
that,that,
",",",",s
to,to,s
my,my,n
thinking,thinking,,topic_35,0,freq4,0,ig5,0,sal5,0
",",",",s
he,he,s
would,would,s
fain,fain,s,topic_23,0,freq4,0,ig5,0,sal5,0
have,have,s
had,had,s
it,it,
.,.,s
Then,then,s
he,he,n
offered,offered,s,topic_2,0,freq4,0,ig1,0,sal3,0
it,it,s
to,to,s
him,him,s
again,again,
;,;,s
then,then,s
he,he,s
put,put,s,topic_41,0,freq1,0,ig5,0,sal2,0
it,it,s
by,by,s
again,again,
:,:,n
but,but,
",",",",s
to,to,s
my,my,s
thinking,thinking,,topic_35,0,freq4,0,ig5,0,sal5,0
",",",",s
he,he,s
was,was,s
very,very,s
loath,loath,s,topic_6,0,freq4,0,ig5,0,sal5,0
to,to,s
lay,lay,s,topic_46,0,freq2,0,ig5,0,sal2,0
his,his,n
fingers,fingers,s,topic_41,0,freq4,0,ig5,0,sal4,0
off,off,s
it,it,
.,.,s
And,and,s
then,then,s
he,he,s
offered,offered,s,topic_2,0,freq4,0,ig1,0,sal3,0
it,it,s
the,the,s
third,third,n
time,time,,topic_0,0,freq1,0,ig5,0,sal1,0
;,;,s
he,he,s
put,put,s,topic_41,0,freq1,0,ig5,0,sal2,0
it,it,s
the,the,s
third,third,s
time,time,s,topic_3,0,freq1,0,ig5,0,sal2,0
by,by,
:,:,s
and,and,s
still,still,s
as,as,s
he,he,n
refused,refused,s,topic_35,0,freq5,0,ig5,0,sal5,0
it,it,
",",",",s
the,the,s
rabblement,rabblement,s,topic_11,0,freq5,0,ig3,0,sal5,0
hooted,hooted,s,topic_2,0,freq5,0,ig2,0,sal5,0
and,and,s
clapped,clapped,s,topic_37,0,freq4,0,ig1,0,sal4,0
their,their,n
chapped,chapped,s,topic_41,0,freq5,0,ig3,0,sal5,0
hands,hands,s,topic_12,0,freq4,0,ig5,0,sal5,0
and,and,s
threw,threw,s,topic_45,0,freq4,0,ig4,0,sal2,0
up,up,s
their,their,s
sweaty,sweaty,s,topic_14,0,freq5,0,ig5,0,sal5,0
night-caps,night-caps,n,topic_48,0,freq5,0,ig3,0,sal5,0
and,and,s
uttered,uttered,s,topic_41,0,freq4,0,ig1,0,sal3,0
such,such,s
a,a,s
deal,deal,s,topic_1,0,freq3,0,ig5,0,sal4,0
of,of,s
stinking,stinking,s,topic_47,0,freq4,0,ig1,0,sal3,0
breath,breath,s,topic_9,0,freq2,0,ig5,0,sal3,0
because,because,n
Caesar,caesar,s
refused,refused,s,topic_45,0,freq4,0,ig4,0,sal4,0
the,the,s
crown,crown,s,topic_19,0,freq1,0,ig5,0,sal2,0
that,that,s
it,it,s
had,had,s
almost,almost,s
choked,choked,n,topic_35,0,freq5,0,ig5,0,sal5,0
Caesar,caesar,
;,;,s
for,for,s
he,he,s
swounded,swounded,s,topic_41,0,freq5,0,ig2,0,sal5,0
and,and,s
fell,fell,s,topic_35,0,freq2,0,ig5,0,sal3,0
down,down,s
at,at,s
it,it,
:,:,s
and,and,n
for,for,s
mine,mine,s,topic_0,0,freq1,0,ig5,0,sal3,0
own,own,s
part,part,,topic_13,0,freq1,0,ig5,0,sal1,0
",",",",s
I,i,s
durst,durst,s,topic_49,0,freq3,0,ig5,0,sal3,0
not,not,s
laugh,laugh,,topic_18,0,freq3,0,ig5,0,sal3,0
",",",",s
for,for,s
fear,fear,s,topic_35,0,freq1,0,ig5,0,sal1,0
of,of,n
opening,opening,s,topic_41,0,freq4,0,ig5,0,sal4,0
my,my,s
lips,lips,s,topic_9,0,freq3,0,ig5,0,sal4,0
and,and,s
receiving,receiving,s,topic_7,0,freq5,0,ig1,0,sal4,0
the,the,s
bad,bad,s,topic_14,0,freq2,0,ig5,0,sal3,0
air,air,,topic_16,0,freq3,0,ig5,0,sal4,0
.,.,n
But,but,
",",",",s
soft,soft,,topic_1,0,freq3,0,ig5,0,sal4,0
",",",",s
I,i,s
pray,pray,s,topic_2,0,freq1,0,ig5,0,sal2,0
you,you,
:,:,s
what,what,
",",",",s
did,did,s
Caesar,caesar,s
swound,swound,,topic_40,0,freq5,0,ig2,0,sal5,0
?,?,n
He,he,s
fell,fell,s,topic_35,0,freq2,0,ig5,0,sal3,0
down,down,s
in,in,s
the,the,s
market-place,market-place,,topic_17,0,freq4,0,ig5,0,sal3,0
",",",",s
and,and,s
foamed,foamed,s,topic_10,0,freq5,0,ig3,0,sal5,0
at,at,n
mouth,mouth,,topic_41,0,freq2,0,ig5,0,sal2,0
",",",",s
and,and,s
was,was,s
speechless,speechless,,topic_21,0,freq5,0,ig5,0,sal5,0
.,.,n
',',
Tis,tis,s,topic_46,0,freq1,0,ig5,0,sal2,0
very,very,s
like,like,
:,:,s
he,he,s
hath,hath,s,topic_47,0,freq1,0,ig5,0,sal1,0
the,the,s
failing,failing,s,topic_45,0,freq5,0,ig5,0,sal4,0
sickness,sickness,,topic_49,0,freq4,0,ig5,0,sal4,0
.,.,n
No,no,
",",",",s
Caesar,caesar,s
hath,hath,s,topic_47,0,freq1,0,ig5,0,sal1,0
it,it,s
not,not,
;,;,s
but,but,s
you,you,s
and,and,s
I,i,
",",",",n
And,and,s
honest,honest,s,topic_2,0,freq2,0,ig5,0,sal2,0
Casca,casca,
",",",",s
we,we,s
have,have,s
the,the,s
falling,falling,s,topic_11,0,freq4,0,ig5,0,sal5,0
sickness,sickness,,topic_47,0,freq3,0,ig5,0,sal3,0
.,.,n
I,i,s
know,know,s
not,not,s
what,what,s
you,you,s
mean,mean,s
by,by,s
that,that,
;,;,s
but,but,
",",",",s
I,i,s
am,am,s
sure,sure,
",",",",n
Caesar,caesar,s
fell,fell,s,topic_35,0,freq2,0,ig5,0,sal3,0
down,down,
.,.,s
If,if,s
the,the,s
tag-rag,tag-rag,s,topic_35,0,freq5,0,ig3,0,sal5,0
people,people,s,topic_17,0,freq1,0,ig1,0,sal1,0
did,did,s
not,not,n
clap,clap,s,topic_41,0,freq4,0,ig5,0,sal4,0
him,him,s
and,and,s
hiss,hiss,s,topic_41,0,freq4,0,ig1,0,sal3,0
him,him,
",",",",s
according,according,s
as,as,s
he,he,s
pleased,pleased,s,topic_43,0,freq3,0,ig5,0,sal2,0
and,and,n
displeased,displeased,s,topic_6,0,freq5,0,ig5,0,sal5,0
them,them,
",",",",s
as,as,s
they,they,s
use,use,s
to,to,s
do,do,s
the,the,s
players,players,s
in,in,n
the,the,s
theatre,theatre,,topic_41,0,freq4,0,ig1,0,sal3,0
",",",",s
I,i,s
am,am,s
no,no,s
true,true,s,topic_46,0,freq1,0,ig5,0,sal2,0
man,man,
.,.,n
What,what,s
said,said,s
he,he,s
when,when,s
he,he,s
came,came,s
unto,unto,s
himself,himself,
?,?,n
Marry,marry,,topic_2,0,freq2,0,ig5,0,sal2,0
",",",",s
before,before,s
he,he,s
fell,fell,s,topic_35,0,freq2,0,ig5,0,sal3,0
down,down,
",",",",s
when,when,s
he,he,s
perceived,perceived,s,topic_47,0,freq5,0,ig5,0,sal5,0
the,the,n
common,common,s,topic_17,0,freq2,0,ig5,0,sal3,0
herd,herd,s,topic_38,0,freq4,0,ig4,0,sal3,0
was,was,s
glad,glad,s,topic_2,0,freq3,0,ig5,0,sal4,0
he,he,s
refused,refused,s,topic_35,0,freq5,0,ig5,0,sal5,0
the,the,s
crown,crown,,topic_8,0,freq1,0,ig5,0,sal1,0
",",",",s
he,he,n
plucked,plucked,s,topic_22,0,freq4,0,ig1,0,sal3,0
me,me,s
ope,ope,s,topic_38,0,freq4,0,ig5,0,sal3,0
his,his,s
doublet,doublet,s,topic_18,0,freq4,0,ig1,0,sal2,0
and,and,s
offered,offered,s,topic_2,0,freq4,0,ig1,0,sal3,0
them,them,s
his,his,n
throat,throat,s,topic_34,0,freq4,0,ig5,0,sal1,0
to,to,s
cut,cut,,topic_34,0,freq3,0,ig5,0,sal1,0
.,.,s
An,an,s
I,i,s
had,had,s
been,been,s
a,a,s
man,man,s
of,of,s
any,any,n
occupation,occupation,,topic_17,0,freq4,0,ig1,0,sal3,0
",",",",s
if,if,s
I,i,s
would,would,s
not,not,s
have,have,s
taken,taken,s
him,him,s
at,at,s
a,a,s
word,word,,topic_34,0,freq2,0,ig5,0,sal2,0
",",",",n
I,i,s
would,would,s
I,i,s
might,might,s
go,go,s
to,to,s
hell,hell,s,topic_16,0,freq2,0,ig5,0,sal1,0
among,among,s
the,the,s
rogues,rogues,,topic_40,0,freq4,0,ig5,0,sal3,0
.,.,s
And,and,s
so,so,n
he,he,s
fell,fell,,topic_35,0,freq2,0,ig5,0,sal3,0
.,.,s
When,when,s
he,he,s
came,came,s
to,to,s
himself,himself,s
again,again,
",",",",s
he,he,s
said,said,
",",",",n
If,if,s
he,he,s
had,had,s
done,done,s
or,or,s
said,said,s
any,any,s
thing,thing,s,topic_2,0,freq2,0,ig5,0,sal2,0
amiss,amiss,,topic_3,0,freq3,0,ig4,0,sal1,0
",",",",s
he,he,s
desired,desired,n,topic_8,0,freq4,0,ig5,0,sal4,0
their,their,s
worships,worships,s,topic_41,0,freq4,0,ig1,0,sal3,0
to,to,s
think,think,s
it,it,s
was,was,s
his,his,s
infirmity,infirmity,,topic_6,0,freq4,0,ig5,0,sal5,0
.,.,s
Three,three,n
or,or,s
four,four,s
wenches,wenches,,topic_6,0,freq3,0,ig1,0,sal2,0
",",",",s
where,where,s
I,i,s
stood,stood,,topic_3,0,freq2,0,ig5,0,sal1,0
",",",",s
cried,cried,s,topic_35,0,freq3,0,ig5,0,sal3,0
',',
Alas,alas,,topic_16,0,freq1,0,ig5,0,sal1,0
",",",",s
good,good,n,topic_2,0,freq1,0,ig5,0,sal1,0
soul,soul,,topic_24,0,freq1,0,ig5,0,sal1,0
!,!,
',',s
and,and,s
forgave,forgave,s,topic_35,0,freq5,0,ig2,0,sal5,0
him,him,s
with,with,s
all,all,s
their,their,s
hearts,hearts,,topic_17,0,freq2,0,ig5,0,sal3,0
:,:,s
but,but,n
there's,there's,s
no,no,s
heed,heed,s,topic_2,0,freq4,0,ig5,0,sal3,0
to,to,s
be,be,s
taken,taken,s
of,of,s
them,them,
;,;,s
if,if,s
Caesar,caesar,s
had,had,n
stabbed,stabbed,s,topic_2,0,freq5,0,ig1,0,sal4,0
their,their,s
mothers,mothers,,topic_14,0,freq3,0,ig1,0,sal2,0
",",",",s
they,they,s
would,would,s
have,have,s
done,done,s
no,no,s
less,less,
.,.,n
And,and,s
after,after,s
that,that,
",",",",s
he,he,s
came,came,
",",",",s
thus,thus,s
sad,sad,,topic_18,0,freq3,0,ig5,0,sal3,0
",",",",s
away,away,
?,?,n
Ay,ay,,topic_42,0,freq1,0,ig5,0,sal4,0
.,.,n
Did,did,s
Cicero,cicero,s
say,say,s
any,any,s
thing,thing,,topic_2,0,freq2,0,ig5,0,sal2,0
?,?,n
Ay,ay,,topic_42,0,freq1,0,ig5,0,sal4,0
",",",",s
he,he,s
spoke,spoke,s,topic_0,0,freq2,0,ig5,0,sal2,0
Greek,greek,,topic_14,0,freq2,0,ig1,0,sal1,0
.,.,n
To,to,s
what,what,s
effect,effect,,topic_35,0,freq3,0,ig5,0,sal3,0
?,?,n
Nay,nay,,topic_2,0,freq1,0,ig5,0,sal1,0
",",",",s
an,an,s
I,i,s
tell,tell,s
you,you,s
that,that,
",",",",s
Ill,ill,s,topic_2,0,freq3,0,ig5,0,sal3,0
ne'er,ne'er,s,topic_44,0,freq2,0,ig5,0,sal3,0
look,look,s
you,you,s
i,i,
',',s
the,the,n
face,face,s,topic_41,0,freq1,0,ig5,0,sal1,0
again,again,
:,:,s
but,but,s
those,those,s
that,that,s
understood,understood,s,topic_2,0,freq4,0,ig5,0,sal3,0
him,him,s
smiled,smiled,s,topic_49,0,freq5,0,ig5,0,sal5,0
at,at,n
one,one,s
another,another,s
and,and,s
shook,shook,s,topic_35,0,freq4,0,ig5,0,sal5,0
their,their,s
heads,heads,,topic_21,0,freq3,0,ig5,0,sal4,0
;,;,s
but,but,
",",",",s
for,for,s
mine,mine,s,topic_2,0,freq2,0,ig5,0,sal3,0
own,own,n
part,part,,topic_13,0,freq1,0,ig5,0,sal1,0
",",",",s
it,it,s
was,was,s
Greek,greek,s,topic_14,0,freq2,0,ig1,0,sal1,0
to,to,s
me,me,
.,.,s
I,i,s
could,could,s
tell,tell,s
you,you,s
more,more,n
news,news,s,topic_47,0,freq1,0,ig1,0,sal1,0
too,too,
:,:,s
Marullus,marullus,s
and,and,s
Flavius,flavius,
",",",",s
for,for,s
pulling,pulling,s,topic_4,0,freq5,0,ig3,0,sal5,0
scarfs,scarfs,n,topic_1,0,freq5,0,ig1,0,sal4,0
off,off,s
Caesar's,caesar's,s,topic_17,0,freq2,0,ig4,0,sal1,0
images,images,,topic_1,0,freq5,0,ig5,0,sal5,0
",",",",s
are,are,s
put,put,s,topic_41,0,freq1,0,ig5,0,sal2,0
to,to,s
silence,silence,
.,.,s
Fare,fare,s,topic_2,0,freq4,0,ig5,0,sal5,0
you,you,n
well,well,
.,.,s
There,there,s
was,was,s
more,more,s
foolery,foolery,s,topic_2,0,freq5,0,ig5,0,sal4,0
yet,yet,
",",",",s
if,if,s
I,i,s
could,could,n
remember,remember,s,topic_13,0,freq3,0,ig5,0,sal5,0
it,it,
.,.,n
Will,will,s
you,you,s
sup,sup,s
with,with,s
me,me,s
to-night,to-night,,topic_23,0,freq2,0,ig5,0,sal1,0
",",",",s
Casca,casca,
?,?,n
No,no,
",",",",s
I,i,s
am,am,s
promised,promised,s,topic_2,0,freq3,0,ig5,0,sal3,0
forth,forth,
.,.,n
Will,will,s
you,you,s
dine,dine,s,topic_11,0,freq3,0,ig1,0,sal2,0
with,with,s
me,me,s
to-morrow,to-morrow,,topic_23,0,freq2,0,ig5,0,sal2,0
?,?,n
Ay,ay,,topic_42,0,freq1,0,ig5,0,sal4,0
",",",",s
if,if,s
I,i,s
be,be,s
alive,alive,s,topic_41,0,freq3,0,ig5,0,sal5,0
and,and,s
your,your,s
mind,mind,s,topic_8,0,freq3,0,ig5,0,sal5,0
hold,hold,s,topic_13,0,freq1,0,ig5,0,sal4,0
and,and,s
your,your,s
dinner,dinner,n,topic_2,0,freq3,0,ig5,0,sal4,0
worth,worth,s,topic_7,0,freq3,0,ig5,0,sal5,0
the,the,s
eating,eating,,topic_47,0,freq4,0,ig4,0,sal3,0
.,.,n
Good,good,,topic_2,0,freq1,0,ig5,0,sal1,0
:,:,s
I,i,s
will,will,s
expect,expect,s,topic_2,0,freq4,0,ig5,0,sal5,0
you,you,
.,.,n
Do,do,s
so,so,
.,.,s
Farewell,farewell,,topic_0,0,freq2,0,ig5,0,sal3,0
",",",",s
both,both,
.,.,n
What,what,s
a,a,s
blunt,blunt,s
fellow,fellow,s,topic_2,0,freq1,0,ig5,0,sal1,0
is,is,s
this,this,s
grown,grown,s,topic_4,0,freq2,0,ig5,0,sal2,0
to,to,s
be,be,
!,!,n
He,he,s
was,was,s
quick,quick,s,topic_42,0,freq2,0,ig5,0,sal4,0
mettle,mettle,s,topic_13,0,freq4,0,ig5,0,sal4,0
when,when,s
he,he,s
went,went,s
to,to,s
school,school,,topic_23,0,freq4,0,ig1,0,sal3,0
.,.,n
So,so,s
is,is,s
he,he,s
now,now,s
in,in,s
execution,execution,n,topic_21,0,freq4,0,ig5,0,sal4,0
Of,of,s
any,any,s
bold,bold,s,topic_35,0,freq3,0,ig5,0,sal4,0
or,or,s
noble,noble,s,topic_17,0,freq1,0,ig5,0,sal2,0
enterprise,enterprise,,topic_47,0,freq3,0,ig1,0,sal2,0
",",",",n
However,however,s
he,he,s
puts,puts,s,topic_25,0,freq3,0,ig4,0,sal2,0
on,on,s
this,this,s
tardy,tardy,s,topic_0,0,freq4,0,ig1,0,sal3,0
form,form,,topic_47,0,freq4,0,ig5,0,sal5,0
.,.,n
This,this,s
rudeness,rudeness,s,topic_14,0,freq4,0,ig1,0,sal3,0
is,is,s
a,a,s
sauce,sauce,s,topic_0,0,freq5,0,ig5,0,sal5,0
to,to,s
his,his,s
good,good,s,topic_2,0,freq1,0,ig5,0,sal1,0
wit,wit,,topic_18,0,freq1,0,ig5,0,sal2,0
",",",",n
Which,which,s
gives,gives,s
men,men,s,topic_35,0,freq1,0,ig5,0,sal1,0
stomach,stomach,s,topic_41,0,freq4,0,ig5,0,sal5,0
to,to,s
digest,digest,s,topic_35,0,freq4,0,ig5,0,sal4,0
his,his,s
words,words,n,topic_34,0,freq2,0,ig5,0,sal2,0
With,with,s
better,better,s
appetite,appetite,,topic_25,0,freq3,0,ig5,0,sal3,0
.,.,n
And,and,s
so,so,s
it,it,s
is,is,
.,.,s
For,for,s
this,this,s
time,time,s,topic_23,0,freq3,0,ig5,0,sal5,0
I,i,s
will,will,s
leave,leave,s,topic_31,0,freq1,0,ig5,0,sal1,0
you,you,
:,:,n
To-morrow,to-morrow,,topic_23,0,freq2,0,ig5,0,sal2,0
",",",",s
if,if,s
you,you,s
please,please,s
to,to,s
speak,speak,s,topic_3,0,freq1,0,ig5,0,sal2,0
with,with,s
me,me,
",",",",n
I,i,s
will,will,s
come,come,s
home,home,s,topic_17,0,freq2,0,ig5,0,sal3,0
to,to,s
you,you,
;,;,s
or,or,
",",",",s
if,if,s
you,you,s
will,will,
",",",",n
Come,come,s
home,home,s,topic_17,0,freq2,0,ig5,0,sal3,0
to,to,s
me,me,
",",",",s
and,and,s
I,i,s
will,will,s
wait,wait,s,topic_48,0,freq4,0,ig5,0,sal5,0
for,for,s
you,you,
.,.,n
I,i,s
will,will,s
do,do,s
so,so,
:,:,s
till,till,s,topic_36,0,freq1,0,ig5,0,sal1,0
then,then,
",",",",s
think,think,s
of,of,s
the,the,s
world,world,,topic_31,0,freq1,0,ig5,0,sal3,0
.,.,n
Well,well,
",",",",s
Brutus,brutus,
",",",",s
thou,thou,s
art,art,s,topic_28,0,freq1,0,ig5,0,sal1,0
noble,noble,,topic_29,0,freq2,0,ig5,0,sal5,0
;,;,s
yet,yet,
",",",",s
I,i,s
see,see,
",",",",n
Thy,thy,s
honourable,honourable,s,topic_17,0,freq2,0,ig5,0,sal2,0
metal,metal,s,topic_22,0,freq3,0,ig5,0,sal2,0
may,may,s
be,be,s
wrought,wrought,n,topic_9,0,freq4,0,ig5,0,sal5,0
From,from,s
that,that,s
it,it,s
is,is,s
disposed,disposed,,topic_31,0,freq4,0,ig5,0,sal3,0
:,:,s
therefore,therefore,s
it,it,s
is,is,s
meet,meet,n,topic_32,0,freq2,0,ig5,0,sal5,0
That,that,s
noble,noble,s,topic_17,0,freq1,0,ig5,0,sal2,0
minds,minds,s,topic_35,0,freq2,0,ig5,0,sal2,0
keep,keep,s
ever,ever,s
with,with,s
their,their,s
likes,likes,,topic_3,0,freq5,0,ig5,0,sal5,0
;,;,n
For,for,s
who,who,s
so,so,s
firm,firm,s,topic_8,0,freq3,0,ig5,0,sal4,0
that,that,s
cannot,cannot,s
be,be,s
seduced,seduced,,topic_38,0,freq4,0,ig1,0,sal3,0
?,?,n
Caesar,caesar,s
doth,doth,s,topic_38,0,freq1,0,ig5,0,sal4,0
bear,bear,s,topic_12,0,freq1,0,ig5,0,sal1,0
me,me,s
hard,hard,,topic_36,0,freq2,0,ig5,0,sal3,0
;,;,s
but,but,s
he,he,s
loves,loves,s,topic_35,0,freq2,0,ig5,0,sal2,0
Brutus,brutus,
:,:,n
If,if,s
I,i,s
were,were,s
Brutus,brutus,s
now,now,s
and,and,s
he,he,s
were,were,s
Cassius,cassius,
",",",",n
He,he,s
should,should,s
not,not,s
humour,humour,s,topic_18,0,freq3,0,ig5,0,sal4,0
me,me,
.,.,s
I,i,s
will,will,s
this,this,s
night,night,,topic_23,0,freq1,0,ig5,0,sal1,0
",",",",n
In,in,s
several,several,s
hands,hands,,topic_1,0,freq1,0,ig5,0,sal2,0
",",",",s
in,in,s
at,at,s
his,his,s
windows,windows,s,topic_9,0,freq4,0,ig1,0,sal3,0
throw,throw,,topic_4,0,freq3,0,ig5,0,sal4,0
",",",",n
As,as,s
if,if,s
they,they,s
came,came,s
from,from,s
several,several,s
citizens,citizens,,topic_17,0,freq4,0,ig5,0,sal4,0
",",",",n
Writings,writings,s,topic_30,0,freq5,0,ig2,0,sal5,0
all,all,s
tending,tending,s,topic_35,0,freq5,0,ig1,0,sal4,0
to,to,s
the,the,s
great,great,s,topic_3,0,freq1,0,ig5,0,sal1,0
opinion,opinion,n,topic_14,0,freq1,0,ig5,0,sal1,0
That,that,s
Rome,rome,s,topic_17,0,freq1,0,ig5,0,sal1,0
holds,holds,s,topic_38,0,freq3,0,ig5,0,sal3,0
of,of,s
his,his,s
name,name,
;,;,s
wherein,wherein,s
obscurely,obscurely,n,topic_15,0,freq5,0,ig3,0,sal5,0
Caesar's,caesar's,s,topic_17,0,freq2,0,ig4,0,sal1,0
ambition,ambition,s,topic_26,0,freq3,0,ig1,0,sal1,0
shall,shall,s
be,be,s
glanced,glanced,s,topic_38,0,freq5,0,ig5,0,sal5,0
at,at,
:,:,n
And,and,s
after,after,s
this,this,s
let,let,s
Caesar,caesar,s
seat,seat,s,topic_8,0,freq2,0,ig4,0,sal2,0
him,him,s
sure,sure,
;,;,n
For,for,s
we,we,s
will,will,s
shake,shake,s,topic_17,0,freq3,0,ig5,0,sal4,0
him,him,
",",",",s
or,or,s
worse,worse,s,topic_12,0,freq1,0,ig5,0,sal1,0
